relationship_id,idea_id,security_id,relationship_type,direction,mechanism,sensitivity,confidence,catalyst,invalidation,status,research_page,last_reviewed_at,next_review_at,created_at,updated_at
relationship_0716cb4d18e5af297600,idea_digital_finance_crypto_rails,security_d202772e4e62065cd17a,beneficiary,positive,"Bank processing, merchant acquiring, payment networks, ecommerce and Clover can convert digital-payment adoption into recurring processing revenue and cash flow when client retention, product growth, service quality and execution are sound; crypto exposure is not required.",high,medium,"Organic revenue returns to growth, client retention and implementations stabilize, Clover growth and service quality recover, margins and cash conversion improve, and debt declines without underinvestment.","Digital-finance growth is immaterial to Fiserv; clients continue to leave; Clover stalls; pricing or competition compresses margins; implementation and service failures persist; or debt, remediation and capital allocation absorb operating cash flow.",accepted,data/wiki/relationships/relationship_0716cb4d18e5af297600.md,2026-08-28T20:11:00Z,2026-09-30T12:00:00Z,2026-08-28T20:11:21Z,2026-08-28T20:11:21Z
relationship_1655ac715c33506ec7da,idea_defense_aerospace,security_59304f90c440def31dc5,beneficiary,positive,"Higher funded defense budgets and stockpile replenishment can become missile, air-defense, naval, sensor, and engine awards that RTX converts through qualified production, deliveries, and sustainment into revenue, segment profit, cash flow, and backlog; shareholder transmission depends on pricing, productivity, mix, fixed-price execution, suppliers, export approvals, commercial aerospace, Pratt remediation, leverage, and valuation.",medium,medium,"Funded missile, air-defense, naval, sensor, and engine awards lift qualified output; defense backlog converts into deliveries; Raytheon margins and group free cash flow improve; Pratt remediation costs decline; and inventory, receivables, contract assets, and fixed-price provisions remain controlled while capacity expands.",Defense budgets fail to become funded awards; replenishment urgency fades; export approvals or supplier constraints prevent delivery; production expansion creates quality failures; fixed-price charges absorb volume; commercial aerospace declines; Pratt remediation liabilities rise; leverage constrains capital allocation; or defense growth fails to produce sustained group-level free cash flow.,accepted,data/wiki/relationships/relationship_1655ac715c33506ec7da.md,2026-07-28T02:45:31Z,2026-08-27T12:00:00Z,2026-07-28T02:46:39Z,2026-07-28T02:46:39Z
relationship_1827dc5e29f6ba308711,idea_digital_finance_crypto_rails,security_4935c6e39e38273a1731,beneficiary,positive,"Mercado Pago, merchant acquiring, wallets and credit can convert digital-finance adoption into payment, interest and commerce-network revenue, while logistics, advertising and marketplace density can reinforce distribution if losses, funding and regulation remain controlled.",high,medium,"Payment volume, acquiring, wallets and commerce continue compounding; credit losses and funding costs remain controlled; logistics density and advertising improve margins; and operating earnings convert into durable per-share cash flow.",Fintech becomes immaterial to normalized value; credit losses or funding overwhelm growth; regulation impairs payments or lending; currency stress destroys shareholder value; or commerce and financial ecosystems cease to reinforce one another.,accepted,data/wiki/relationships/relationship_1827dc5e29f6ba308711.md,2026-08-28T20:13:00Z,2026-09-30T12:00:00Z,2026-08-28T20:12:44Z,2026-08-28T20:12:44Z
relationship_228f56aa5d91f3688b67,idea_cybersecurity_geopolitical_continuity,security_8472507d7d320aa388a7,beneficiary,positive,"Geopolitical intrusion, cloud and identity complexity, and regulatory accountability raise continuity and compliance demand; CrowdStrike converts that demand through Falcon subscriptions, Falcon Flex and multi-module adoption into ARR, revenue and cash flow. Fiscal Q2 2027 accelerated net-new ARR and increased module adoption, but pricing quality, retention, platform bundling, incident trust, acquisition spending, stock-based compensation, dilution and valuation constrain per-share realization.",high,medium,"Strengthen the edge if later primary evidence sustains net-new ARR and retention, broadens paid module adoption without discount-led bundling, improves GAAP operating margin and cash conversion after incident costs, reduces stock compensation per share, and preserves pricing and trust against bundled alternatives.","Invalidate if net-new ARR or retention deteriorates; module adoption reflects discounting rather than wallet-share gains; customers consolidate into lower-cost bundles; a product or service failure causes lasting trust and renewal damage; incident liabilities persist; cash conversion depends on working-capital timing; or weak GAAP economics, equity awards and acquisitions prevent per-share cash compounding.",accepted,data/wiki/relationships/relationship_228f56aa5d91f3688b67.md,2026-09-01T08:47:14Z,2026-10-01T08:47:14Z,2026-07-28T03:03:04Z,2026-09-01T08:48:37Z
relationship_250194f6a9e3a1817632,idea_anduril_product_company_disruption,security_bdc2f87dadf134760c3a,beneficiary,positive,"Anduril can buy Palantir Warp Speed software and participate with Palantir in defence programs such as TITAN, so growth in Anduril's product-company model could create software demand or program pull-through for Palantir; however, no current source quantifies Anduril-derived Palantir revenue, margin, contract duration, concentration, or incremental cash flow, and Anduril's separate Army procurement ceiling is neither obligated nor Palantir revenue.",low,low,"Palantir discloses material Anduril-derived revenue, contract duration, software attachment, margins, or cash flow; Anduril production awards produce measurable recurring Warp Speed demand; or joint defence programs award Palantir identifiable economics that are material relative to its broader business.","Anduril internalizes the relevant software stack, selects competing infrastructure, joint programs do not award Palantir material economics, Warp Speed remains an immaterial customer relationship, or Palantir continues to omit Anduril exposure because it is not financially material.",rejected,data/wiki/relationships/relationship_250194f6a9e3a1817632.md,2026-07-28T03:20:16Z,2026-08-14T12:00:00Z,2026-07-28T03:21:27Z,2026-07-28T03:21:27Z
relationship_2938ed6f30a7cb419822,idea_ai_compute_networking_hyperscaler_monetization,security_2433a056eb0c55961fcc,beneficiary,positive,"AWS supplies compute, model services and infrastructure to AI workloads; durable utilization and pricing can expand Amazon operating earnings, advertising and retail productivity when incremental returns exceed depreciation, financing, energy and dilution costs.",high,medium,"AWS growth and margins remain strong, AI services broaden consumption, infrastructure utilization rises, retail and advertising productivity improve, and free cash flow turns positive without impairing the growth runway.","AI infrastructure utilization, AWS growth or margins fail to compensate for capital intensity, depreciation, financing and dilution; customer concentration or competition erodes returns; or operating cash conversion remains structurally negative.",accepted,data/wiki/relationships/relationship_2938ed6f30a7cb419822.md,2026-08-28T20:15:00Z,2026-09-30T12:00:00Z,2026-08-28T20:14:17Z,2026-08-28T20:14:17Z
relationship_297f9e36fb4e93a808e8,idea_commercial_space_infrastructure,security_7ca095d63423c55a90e3,beneficiary,positive,"Government and commercial demand for launches, spacecraft, components, and mission systems can flow directly into Rocket Lab's Launch Services and Space Systems revenue and backlog; shareholder benefit depends on reliable missions, profitable contract conversion, lower cash use, and disciplined financing.",high,medium,"Electron cadence and mission reliability remain durable, backlog converts at maintained margins, Space Systems repeat-program revenue expands, Neutron reaches milestones without material overruns, customer concentration declines, and operating cash use falls without repeated equity issuance.","Launch or mission failures interrupt cadence, Neutron slips or exceeds budget, customers terminate or modify material backlog, fixed-price contracts generate losses, concentration rises, segment revenue decouples from sector demand, or cash burn requires dilution that outruns enterprise-value growth.",accepted,data/wiki/relationships/relationship_297f9e36fb4e93a808e8.md,2026-07-28T01:35:44Z,2026-08-14T12:00:00Z,2026-07-28T01:37:24Z,2026-07-28T01:37:24Z
relationship_3570e003fd90cd83d26f,idea_precision_biology_healthcare_automation,security_1f9cce545ede94cd6349,beneficiary,positive,"Adoption and utilization of Intuitive's robotically assisted procedure systems expand the installed base and directly drive procedure-linked instruments, accessories, and service revenue; shareholder benefit depends on recurring-revenue growth converting through operating margin, safety, training quality, hospital economics, and cash.",high,high,"Procedure and installed-base growth remains durable, da Vinci 5 and Ion utilization expands, recurring instruments and service revenue grows, and operating margin remains resilient after tariffs and supply costs.","Procedure utilization or installed-base growth stalls, recurring revenue decouples from adoption, hospital budgets defer placements, safety or training evidence weakens, reimbursement or regulation constrains use, competition erodes returns, or tariffs and supply constraints prevent cash conversion.",accepted,data/wiki/relationships/relationship_3570e003fd90cd83d26f.md,2026-07-27T21:36:00Z,2026-10-30T21:36:00Z,2026-07-27T21:36:18Z,2026-07-27T21:36:18Z
relationship_392da6d90e7c969945a2,idea_critical_minerals_copper,security_1c055eb9b2bb1f5a8ff2,beneficiary,positive,"Structural copper scarcity can raise Rio Tinto's realized copper economics, margins, reserve value, and returns on funded copper growth through Oyu Tolgoi and its other copper assets; shareholder transmission depends on attributable volumes and free cash flow after costs, taxes, ownership interests, capex, leverage, iron ore, aluminium, lithium, and other portfolio demands.",medium,medium,"Oyu Tolgoi volume and cost improvements convert into attributable segment and group free cash flow, copper guidance and project schedules hold, net debt remains controlled, Winu or Resolution advances without undermining returns, and the half-year results show a larger copper contribution to group cash generation.","New supply, recycling, substitution, or weaker demand removes scarcity; Oyu Tolgoi or other copper projects slip; grades, recoveries, water, costs, taxes, or ownership terms worsen; group copper output or attributable cash flow fails to rise; or iron-ore weakness, acquisitions, capex, leverage, and other portfolio demands absorb copper gains.",accepted,data/wiki/relationships/relationship_392da6d90e7c969945a2.md,2026-07-28T02:17:48Z,2026-07-30T12:00:00Z,2026-07-28T02:19:15Z,2026-07-28T02:19:15Z
relationship_3a49fe7041b8dc52a933,idea_ai_compute_networking_hyperscaler_monetization,security_d12e746b3c9d392183cc,beneficiary,positive,"Meta deploys AI compute and networking to improve recommendations, engagement, advertising returns, content tools and messaging monetization; shareholder value appears only when incremental revenue and margins exceed infrastructure, talent, financing, stock-compensation and Reality Labs costs.",high,medium,"AI-driven engagement and advertiser returns remain measurable, advertising and messaging revenue compound, infrastructure utilization and margins improve, capital spending normalizes, and per-share free-cash-flow conversion recovers.","AI investment does not produce durable engagement, advertising or messaging economics sufficient to offset capital spending, depreciation, debt and stock compensation; regulation impairs monetization; or Reality Labs and legal costs absorb the benefit.",accepted,data/wiki/relationships/relationship_3a49fe7041b8dc52a933.md,2026-08-28T20:17:00Z,2026-09-30T12:00:00Z,2026-08-28T20:15:44Z,2026-08-28T20:15:44Z
